# Residuals   
# Time        	p_rgh         	Ux            	Uy            
0             	N/A	N/A
3.88          	7.586654e-07	1.115811e-06	1.971032e-05
3.89          	4.506470e-08	7.583910e-06	4.648711e-05
3.9           	7.872758e-07	1.111656e-06	2.029087e-05
3.91          	4.628789e-08	7.595261e-06	4.721008e-05
3.92          	9.227863e-08	7.720890e-05	5.972779e-04
3.93          	8.180073e-08	1.124637e-05	8.099819e-05
3.94          	9.873471e-07	8.833726e-07	7.375363e-06
3.95          	1.061890e-07	1.671802e-05	1.049773e-04
3.96          	9.558956e-07	9.316301e-07	7.064886e-06
3.97          	9.187995e-08	1.661670e-05	9.529748e-05
3.98          	9.716744e-07	8.636677e-07	6.918494e-06
3.99          	4.133307e-07	1.776322e-06	1.634537e-05
4             	1.896113e-07	1.279184e-06	7.813707e-06
4.01          	3.893787e-07	1.419791e-06	1.470243e-05
4.02          	2.044303e-07	1.264556e-06	8.561618e-06
4.03          	3.823697e-07	1.509872e-06	1.474827e-05
4.04          	8.501012e-07	8.042545e-07	4.119767e-06
4.05          	1.093238e-07	1.807856e-04	1.175436e-03
4.06          	9.999350e-07	8.679778e-07	3.000955e-06
4.07          	9.412648e-08	2.060341e-04	1.084910e-03
4.08          	9.092162e-07	8.728301e-07	8.576621e-06
4.09          	9.965753e-07	7.797715e-07	3.806160e-06
4.1           	8.782996e-07	8.777346e-07	2.347838e-06
4.11          	9.304371e-07	9.944724e-07	5.737481e-06
4.12          	8.910309e-07	9.567082e-07	1.981010e-06
4.13          	9.289447e-07	1.128848e-06	8.557539e-06
4.14          	8.823871e-07	9.888607e-07	2.204434e-06
4.15          	9.452601e-07	9.193524e-07	3.052977e-06
4.16          	8.173741e-07	9.440167e-07	2.120850e-06
4.17          	9.268442e-07	8.649612e-07	3.144313e-06
4.18          	2.052682e-07	3.581018e-06	1.138975e-05
4.19          	7.713379e-08	2.590643e-05	7.226049e-05
4.2           	9.482995e-07	7.879029e-07	8.301215e-06
4.21          	3.678632e-07	2.202341e-06	1.482989e-05
4.22          	9.314269e-07	7.992173e-07	7.956598e-06
4.23          	1.137345e-07	2.548833e-05	1.514511e-04
4.24          	9.628836e-07	8.811295e-07	7.414172e-06
4.25          	1.011997e-07	2.897520e-05	1.429964e-04
4.26          	9.544214e-07	9.284510e-07	6.465205e-06
4.27          	9.396735e-08	3.260418e-05	1.262934e-04
4.28          	9.705664e-07	9.667970e-07	6.020257e-06
4.29          	9.416880e-08	2.821033e-05	1.204916e-04
4.3           	7.352606e-07	2.370046e-06	1.842261e-05
4.31          	1.006976e-07	1.888060e-05	9.865933e-05
4.32          	9.358640e-07	1.620449e-06	2.313087e-05
4.33          	1.180776e-07	2.102590e-05	1.146855e-04
4.34          	9.605860e-07	1.925169e-06	2.459962e-05
4.35          	1.141678e-07	1.926389e-05	1.132347e-04
4.36          	9.652551e-07	1.688224e-06	2.410844e-05
4.37          	1.092825e-07	2.007409e-05	1.086071e-04
4.38          	1.005015e-06	1.802247e-06	2.384667e-05
4.39          	9.872871e-08	1.687121e-05	8.581361e-05
4.4           	7.545294e-07	1.588495e-06	1.862969e-05
4.41          	1.049997e-07	2.127420e-05	1.142079e-04
4.42          	7.283362e-07	1.858868e-06	1.784692e-05
4.43          	1.011136e-07	2.264656e-05	1.094822e-04
4.44          	7.685650e-07	2.181149e-06	1.779616e-05
4.45          	9.924664e-08	2.230665e-05	1.084855e-04
4.46          	7.615316e-07	2.140665e-06	1.769084e-05
4.47          	1.005032e-07	2.195290e-05	1.096328e-04
4.48          	7.624729e-07	2.078447e-06	1.775476e-05
4.49          	1.031555e-07	2.196339e-05	1.113825e-04
4.5           	7.568884e-07	2.090350e-06	1.765267e-05
